"","lon","lat"
"185",-77.8935966,34.0351726
"186",-121.4943996,38.5815719
"187",0.7762905,51.9733233
"188",-2.6541002,53.7897081
"189",-117.4260465,47.6587802
"190",-0.1277583,51.5073509
"191",-3.435973,55.378051
"192",-3.435973,55.378051
"193",-3.27196,51.545383
"194",-2.885057,53.568935
"195",-77.1130769,38.844795
"196",-1.4043509,50.9097004
"197",-118.2436849,34.0522342
"198",-3.423064,56.03647
"199",-2.221575,52.193636
"200",-2.221575,52.193636
"201",-2.7044052,53.7632254
"202",-74.0059728,40.7127753
"203",-7.7932573,53.7276296
"204",-0.1277583,51.5073509
"205",-1.0872979,53.9599651
"206",-1.61778,54.978252
"207",-1.1743197,52.3555177
"208",-77.4416505,37.3568157
"209",-1.1743197,52.3555177
"210",-75.2993417,40.2798274
"211",-2.6541002,53.7897081
"212",-1.1743197,52.3555177
"213",-0.1277583,51.5073509
"214",-87.6297982,41.8781136
"215",0.00878,50.873872
"216",-1.829833,52.4750743
"217",0.1218195,52.2052973
"218",-0.1277583,51.5073509
"219",-0.4666565,52.1359735
"220",-3.425002,53.183906
"221",NA,NA
"222",-77.2002745,40.2010241
"223",0.3071749,51.620475
"224",-3.435973,55.378051
"225",-1.829833,52.4750743
"226",-99.133208,19.4326077
"227",-3.449581,51.46209
"228",-3.8063955,55.8238816
"229",-0.341995,51.580559
"230",-96.1103695,36.138286
"231",-74.1502007,40.5795317
"232",-85.6023643,44.3148443
"233",-123.1207375,49.2827291
"234",-2.9915726,53.4083714
"235",-73.134961,40.789142
"236",-0.1277583,51.5073509
"237",-1.1743197,52.3555177
"238",-3.17909,51.481581
"239",-2.2426305,53.4807593
"240",-1.37667,52.5454549
"241",-2.58791,51.454513
"242",-122.2913078,37.8271784
"243",-1.1743197,52.3555177
"244",-85.323214,51.253775
"245",-82.907123,40.4172871
"246",-1.1612185,52.9410933
"247",-1.1743197,52.3555177
"248",-86.77245,33.47973
"249",-113.0105955,38.3966423
"250",-3.435973,55.378051
"251",-73.9441579,40.6781784
"252",-3.17909,51.481581
"253",-4.2026458,56.4906712
"254",-0.1277583,51.5073509
"255",-1.2577263,51.7520209
"256",-117.1610838,32.715738
"257",-71.4128343,41.8239891
"258",-2.2426305,53.4807593
"259",-102.552784,23.634501
"260",-0.099034,51.5150534
"261",-58.3815591,-34.6036844
"262",-3.999461,50.7772135
"263",-2.2426305,53.4807593
"264",-1.2506666,54.5508241
"265",-2.7044052,53.7632254
"266",-95.881671,36.063168
"267",28.2292712,-25.7478676
"268",-3.17909,51.481581
"269",-1.829833,52.4750743
"270",-3.1672365,55.9572641
"271",10.451526,51.165691
"272",-2.70309,53.763201
"273",-3.435973,55.378051
"274",-114.1631847,51.2441921
"275",-0.570409,51.23622
"276",-0.1277583,51.5073509
"277",-3.435973,55.378051
"278",0.5217254,51.2787075
"279",-0.2376744,51.8097823
"280",-81.3792365,28.5383355
"281",-95.2330859,29.459031
"282",-90.3401404,45.1385798
"283",-1.5490774,53.8007554
"284",-3.435973,55.378051
"285",-94.1873939,36.051643
"286",-99.9018131,43.9695148
"287",-75.294569,40.7749283
"288",-2.393083,53.871098
"289",-105.084423,40.5852602
"290",-2.393083,53.871098
"291",-3.3260904,52.6464249
"292",-2.9915726,53.4083714
"293",-1.1743197,52.3555177
"294",35.862285,33.854721
"295",-0.1277583,51.5073509
"296",-5.93012,54.597285
"297",121.0709982,14.6555922
"298",-0.1277583,51.5073509
"299",-0.1240577,51.4278711
"300",-1.5490774,53.8007554
"301",-1.470085,53.381129
"302",-3.435973,55.378051
"303",-2.0727839,53.7190281
"304",-94.930601,38.822155
"305",-95.8362079,36.0834438
"306",-1.5490774,53.8007554
"307",-74.0059728,40.7127753
"308",NA,NA
"309",0.262363,52.399539
"310",-73.567256,45.5016889
"311",-1.310142,51.059771
"312",-0.1277583,51.5073509
"313",-3.435973,55.378051
"314",-3.452151,56.071741
"315",-105.8700901,34.5199402
